bbcode_id,bbcode_title,bbcode_desc,bbcode_tag,bbcode_replace,bbcode_useoption,bbcode_example,bbcode_switch_option,bbcode_menu_option_text,bbcode_menu_content_text,bbcode_single_tag,bbcode_groups,bbcode_sections,bbcode_php_plugin,bbcode_no_parsing,bbcode_protected,bbcode_aliases,bbcode_optional_option,bbcode_image,bbcode_app,bbcode_custom_regex
18,URL,"A standard HTML url anchor tag",url,"",1,"[url=http://google.com]Google[/url]

[url]http://mysite.com[/url]",0,"","",0,all,all,defaults.php,0,1,"",1,"",core,""
19,Image,"Displays linked images",img,"",1,[img=http://www.google.com/intl/en_ALL/images/logo.gif],0,"","",1,all,all,defaults.php,1,1,"",0,"",core,""
20,Quote,"Displayed quoted text within post content",quote,"",0,"[quote]Some generic content here[/quote]

[quote name='Username' date='Jun 30 2008, 10:39 AM' post='1735291']Quoted post content here[/quote]",0,"","",0,all,all,defaults.php,0,1,"",0,"",core,""
21,Indent,"Indents text a few spaces from the left content border",indent,"<div class='bbc_indent' style='margin-left:{option}px'>{content}</div>",1,"[indent=1]Indent this text to make it stand out[/indent]",0,"","",1,all,all,defaults.php,0,1,"",1,"",core,""
22,Lists,"Generate HTML lists.  Supports multi-dimensional lists, and different list marker types.",list,"",0,"[list][*]Unordered list
[/list]

[list=1][*]Ordered list
[/list]

[list=A][*]Generate different marker types (you can use a, A, i, I, and 1)
[list][*]This is multi-dimensional..
[/list]
[/list]",0,"","",0,all,all,defaults.php,0,1,"",0,"",core,""
23,strike,"Displays text striked-out",strike,"<del class='bbc'>{content}</del>",0,"[strike]Striked out text[/strike]",0,"","",0,all,all,"",0,1,s,0,"",core,""
24,"Subscript text","Displays text lowered on the line",sub,"<sub class='bbc'>{content}</sub>",0,"Carbon Dioxide's chemical composition is CO[sub]2[/sub]",0,"","",0,all,all,"",0,1,"",0,"",core,""
25,"Superscript Text","Displays superscript text",sup,"<sup class='bbc'>{content}</sup>",0,"The mathematical way to write ""x squared"" is x[sup]2[/sup]",0,"","",0,all,all,"",0,1,"",0,"",core,""
26,"Email address","Formats an email address as a mailto link",email,"<a href='mailto:{option}' title='{text.bbc_email}' class='bbc_email'>{content}</a>",1,"Please email [email=admin@mysite.com]the admin[/email]

My email address is [email]my@emailaddress.com[/email]",0,"","",0,all,all,"",0,1,"",1,"",core,""
27,Background-color,"Adds a background color behind the text",background,"<span style='background-color: {option}'>{content}</span>",1,"[background=red]Red background behind this text[/background]",0,"","",0,all,all,"",0,1,"",0,"",core,""
28,"Color text","Applies a different text-color to the text",color,"<span style='color: {option}'>{content}</span>",1,"[color=blue]This text is blue[/color]",0,"","",0,all,all,"",0,1,"",0,"",core,""
29,"Size tag","Makes text bigger or smaller in font-size",size,"",1,"[size=4]This is larger text[/size]",0,"","",0,all,all,defaults.php,0,1,"",0,"",core,""
30,"Font tag","Applies a different font-family to the text",font,"<span style='font-family: {option}'>{content}</span>",1,"[font=Tahoma]This text uses Tahoma font-family styling[/font]",0,"","",0,all,all,"",0,1,"",0,"",core,""
31,Member,"Given a member name, a link is automatically generated to the member's profile",member,"",1,"[member=admin] runs this site.",0,"Member Name","",1,all,all,defaults.php,0,0,"",0,"",core,""
32,Media,"Allows a user to post media content from certain common media sites",media,"",1,[media]http://www.youtube.com/watch?v=YqqLx-2vUr0[/media],0,"Dimensions (Flash Only)","Media URL",0,all,all,defaults.php,1,1,"video,movie,flash,blogmedia,youtube",1,"",core,""
33,Twitter,"A tag to link to a user's twitter account",twitter,"<a href='http://www.twitter.com/{content}' class=""bbc_url"">@{content}</a>",0,[twitter]userName[/twitter],0,"","Twitter Username",0,all,all,"",1,0,"",0,twitter.png,core,""
34,"Shared Media","Allows users to share media throughout IP.Board and addon applications",sharedmedia,"",1,[sharedmedia=core:attachments:123],0,"","",1,all,all,defaults.php,1,1,"",0,"",core,""
